Standort,Anzahl Teilnehmer,davon bestanden,Bestehensquote,ø Gesamtpunktzahl,Note 1,Note 1 in Prozent,Note 2,Note 2 in Prozent,Note 3,Note 3 in Prozent,Note 4,Note 4 in Prozent,Note 5,Note 5 in Prozent,Note 6,Note 6 in Prozent,modules
Potsdam,22,22,1000,78,0,00,6,273,16,727,0,00,0,00,0,00,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Umsetzen eines Softwareprojektes', 'Planen eines Softwareproduktes', 'Entwicklung und Umsetzung von Algorithmen', 'Wirtschafts- und Sozialkunde']"
Regensburg für Oberpfalz / Kelheim,130,123,946,77,9,69,47,362,56,431,14,108,3,23,1,08,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Umsetzen eines Softwareprojektes', 'Planen eines Softwareproduktes', 'Entwicklung und Umsetzung von Algorithmen', 'Wirtschafts- und Sozialkunde']"
Region Stuttgart,173,164,948,74,5,29,61,353,70,405,29,168,6,35,2,12,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Umsetzen eines Softwareprojektes', 'Planen eines Softwareproduktes', 'Entwicklung und Umsetzung von Algorithmen', 'Wirtschafts- und Sozialkunde']"
Reutlingen,23,23,1000,81,1,43,12,522,8,348,2,87,0,00,0,00,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Umsetzen eines Softwareprojektes', 'Planen eines Softwareproduktes', 'Entwicklung und Umsetzung von Algorithmen', 'Wirtschafts- und Sozialkunde']"
Rhein-Neckar,99,89,899,72,3,30,27,273,48,485,14,141,4,40,3,30,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Umsetzen eines Softwareprojektes', 'Planen eines Softwareproduktes', 'Entwicklung und Umsetzung von Algorithmen', 'Wirtschafts- und Sozialkunde']"
Rheinhessen,27,23,852,70,0,00,7,259,11,407,8,296,1,37,0,00,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Umsetzen eines Softwareprojektes', 'Planen eines Softwareproduktes', 'Entwicklung und Umsetzung von Algorithmen', 'Wirtschafts- und Sozialkunde']"
Rostock,39,37,949,75,1,26,14,359,14,359,9,231,1,26,0,00,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Umsetzen eines Softwareprojektes', 'Planen eines Softwareproduktes', 'Entwicklung und Umsetzung von Algorithmen', 'Wirtschafts- und Sozialkunde']"
Saarland,60,55,917,73,1,17,20,333,25,417,12,200,1,17,1,17,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Umsetzen eines Softwareprojektes', 'Planen eines Softwareproduktes', 'Entwicklung und Umsetzung von Algorithmen', 'Wirtschafts- und Sozialkunde']"
Schwaben,145,136,938,75,5,34,51,352,64,441,20,138,4,28,1,07,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Umsetzen eines Softwareprojektes', 'Planen eines Softwareproduktes', 'Entwicklung und Umsetzung von Algorithmen', 'Wirtschafts- und Sozialkunde']"
Schwarzwald-Baar-Heuberg,31,31,1000,79,5,161,8,258,13,419,5,161,0,00,0,00,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Umsetzen eines Softwareprojektes', 'Planen eines Softwareproduktes', 'Entwicklung und Umsetzung von Algorithmen', 'Wirtschafts- und Sozialkunde']"
