Standort,Anzahl Teilnehmer,davon bestanden,Bestehensquote,ø Gesamtpunktzahl,Note 1,Note 1 in Prozent,Note 2,Note 2 in Prozent,Note 3,Note 3 in Prozent,Note 4,Note 4 in Prozent,Note 5,Note 5 in Prozent,Note 6,Note 6 in Prozent,modules
Stade für den Elbe-Weser-Raum,13,13,1000,68,0,00,1,77,7,538,5,385,0,00,0,00,"['Sortimentsbewirtschaftung und Vertragsanbahnu', 'Geschäftsprozesse im E-Commerce', 'Kundenkommunikation im E-Commerce', 'Fachgespräch zu einem projektbezogenen Prozes', 'Wirtschafts- und Sozialkunde']"
Südlicher Oberrhein,15,15,1000,81,1,67,5,333,9,600,0,00,0,00,0,00,"['Sortimentsbewirtschaftung und Vertragsanbahnu', 'Geschäftsprozesse im E-Commerce', 'Kundenkommunikation im E-Commerce', 'Fachgespräch zu einem projektbezogenen Prozes', 'Wirtschafts- und Sozialkunde']"
Südthüringen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Sortimentsbewirtschaftung und Vertragsanbahnu', 'Geschäftsprozesse im E-Commerce', 'Kundenkommunikation im E-Commerce', 'Fachgespräch zu einem projektbezogenen Prozes', 'Wirtschafts- und Sozialkunde']"
Südwestfälische Hagen,22,22,1000,69,0,00,2,91,12,545,8,364,0,00,0,00,"['Sortimentsbewirtschaftung und Vertragsanbahnu', 'Geschäftsprozesse im E-Commerce', 'Kundenkommunikation im E-Commerce', 'Fachgespräch zu einem projektbezogenen Prozes', 'Wirtschafts- und Sozialkunde']"
Trier,6,5,833,69,0,00,2,333,1,167,3,500,0,00,0,00,"['Sortimentsbewirtschaftung und Vertragsanbahnu', 'Geschäftsprozesse im E-Commerce', 'Kundenkommunikation im E-Commerce', 'Fachgespräch zu einem projektbezogenen Prozes', 'Wirtschafts- und Sozialkunde']"
Ulm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Sortimentsbewirtschaftung und Vertragsanbahnu', 'Geschäftsprozesse im E-Commerce', 'Kundenkommunikation im E-Commerce', 'Fachgespräch zu einem projektbezogenen Prozes', 'Wirtschafts- und Sozialkunde']"
Wiesbaden,4,3,750,66,0,00,1,250,2,500,0,00,1,250,0,00,"['Sortimentsbewirtschaftung und Vertragsanbahnu', 'Geschäftsprozesse im E-Commerce', 'Kundenkommunikation im E-Commerce', 'Fachgespräch zu einem projektbezogenen Prozes', 'Wirtschafts- und Sozialkunde']"
Wuppertal-Solingen-Remscheid,20,17,850,64,0,00,0,00,9,450,9,450,2,100,0,00,"['Sortimentsbewirtschaftung und Vertragsanbahnu', 'Geschäftsprozesse im E-Commerce', 'Kundenkommunikation im E-Commerce', 'Fachgespräch zu einem projektbezogenen Prozes', 'Wirtschafts- und Sozialkunde']"
Würzburg-Schweinfurt,25,24,960,70,0,00,5,200,11,440,8,320,1,40,0,00,"['Sortimentsbewirtschaftung und Vertragsanbahnu', 'Geschäftsprozesse im E-Commerce', 'Kundenkommunikation im E-Commerce', 'Fachgespräch zu einem projektbezogenen Prozes', 'Wirtschafts- und Sozialkunde']"
bundesweit,1334,1232,924,69,12,09,215,161,600,450,429,322,68,51,10,07,"['Sortimentsbewirtschaftung und Vertragsanbahnu', 'Geschäftsprozesse im E-Commerce', 'Kundenkommunikation im E-Commerce', 'Fachgespräch zu einem projektbezogenen Prozes', 'Wirtschafts- und Sozialkunde']"
die Pfalz in Ludwigshafen am Rhein,12,12,1000,69,0,00,2,167,5,417,5,417,0,00,0,00,"['Sortimentsbewirtschaftung und Vertragsanbahnu', 'Geschäftsprozesse im E-Commerce', 'Kundenkommunikation im E-Commerce', 'Fachgespräch zu einem projektbezogenen Prozes', 'Wirtschafts- und Sozialkunde']"
